size,operation,time
100,insert,0
100,remove,0
100,remove_tree,0

500,insert,0
500,remove,0
500,remove_tree,0

1000,insert,0
1000,remove,0
1000,remove_tree,0

5000,insert,1
5000,remove,0
5000,remove_tree,0

10000,insert,2
10000,remove,0
10000,remove_tree,0

50000,insert,13
50000,remove,2
50000,remove_tree,6

75000,insert,23
75000,remove,2
75000,remove_tree,8

120000,insert,50
120000,remove,6
120000,remove_tree,23

250000,insert,138
250000,remove,16
250000,remove_tree,47

500000,insert,399
500000,remove,47
500000,remove_tree,123

750000,insert,766
750000,remove,84
750000,remove_tree,196

1000000,insert,1110
1000000,remove,121
1000000,remove_tree,282

2000000,insert,2589
2000000,remove,277
2000000,remove_tree,558

